org,name,type
docker,ANTHROPIC_API_KEY,secret
docker,APP_ID,variable
docker,APP_PRIVATE_KEY,secret
docker,ATTEST_RELEASE_APP_ID,variable
docker,ATTEST_RELEASE_APP_PRIVATE_KEY,secret
docker,AWS_ACCESS_KEY_ID,secret
docker,AWS_ACCOUNT_NUMBER,secret
docker,AWS_KMS_ARN,variable
docker,AWS_REGION,variable
docker,AWS_ROLE_TO_ASSUME,variable
docker,AWS_SECRET_ACCESS_KEY,secret
docker,AZCODE_BOT_PAT,secret
docker,AZURE_CLIENT_ID,secret
docker,AZURE_CLIENT_SECRET,secret
docker,AZURE_REGISTRY_NAME,secret
docker,BUGSNAG_API_KEY,secret
docker,CODECOV_TOKEN,secret
docker,DAGSTER_CLOUD_API_TOKEN,secret
docker,DAGSTER_CLOUD_URL,secret
docker,DOCKERBUILDBOT_USERNAME,variable
docker,DOCKERBUILDBOT_WRITE_PAT,secret
docker,DOCKERDESKTOP_APP_ID,variable
docker,DOCKERDESKTOP_APP_PRIVATEKEY,secret
docker,DOCKERDESKTOP_REPO,secret
docker,DOCKERHUB_CLIBIN_TOKEN,secret
docker,DOCKERHUB_CLIBIN_USERNAME,secret
docker,DOCKERHUB_TOKEN,secret
docker,DOCKERHUB_USERNAME,secret
docker,DOCKERPUBLICBOT_DELETE_PAT,secret
docker,DOCKERPUBLICBOT_READ_PAT,secret
docker,DOCKERPUBLICBOT_USERNAME,variable
docker,DOCKERPUBLICBOT_WRITE_PAT,secret
docker,DOCKER_DESKTOP_BUILD_URL,variable
docker,DOCKER_HUB_ACCESS_TOKEN,secret
docker,DOCKER_HUB_USERNAME,secret
docker,DOCKER_OAT,secret
docker,DOCKER_PASSWORD,secret
docker,DOCKER_PAT,secret
docker,DOCKER_USER,secret
docker,DOCKER_USERNAME,variable
docker,E2E_HUB_TOKEN,secret
docker,E2E_HUB_USERNAME,secret
docker,GAR_JSON_KEY,secret
docker,GAR_LOCATION,secret
docker,GCP_PROD_SERVICE_ACCOUNT_KEY,secret
docker,GCP_STAGING_SERVICE_ACCOUNT_KEY,secret
docker,GCR_JSON_KEY,secret
docker,GHCR_PAT,secret
docker,GHCR_USERNAME,secret
docker,GHPAT_DOCS_DISPATCH,secret
docker,GITLAB_TOKEN,secret
docker,GITLAB_USERNAME,secret
docker,GPG_PRIVATE_KEY,secret
docker,HUB_PLATFORM_APP_ID,secret
docker,HUB_PLATFORM_APP_PRIVATE_KEY,secret
docker,JIM_PAT,secret
docker,JIM_USERNAME,secret
docker,NODE_AUTH_TOKEN,secret
docker,NPM_PUBLISH_TOKEN,secret
docker,NPM_TOKEN,secret
docker,ORGANIZATION_ID,secret
docker,ORG_ACCESS_TOKEN,secret
docker,PAGERDUTY_KEY,secret
docker,PASSPHRASE,secret
docker,PULUMI_PROD_PASSPHRASE,secret
docker,PULUMI_STAGING_PASSPHRASE,secret
docker,PYPI_API_TOKEN,secret
docker,REACT_APP_MUI_LICENSE_KEY,secret
docker,RH_PASS,secret
docker,RH_USER,secret
docker,SLACK_WEBHOOK,secret
docker,SONAR_TOKEN,secret
docker,TC_CLOUD_TOKEN,secret
docker,TELEMETRY_ENDPOINT,variable
docker,TELEMETRY_HOST,variable
docker,TELEMETRY_KEY,secret
docker,TELEMETRY_PATH,variable
docker,TEST_FOR_SUMMARY,secret
docker,TUF_OAT,secret
